ID,n_generation,rank_G0,rank_G1,rank_G2,rank_G3,rank_G4
Hyena_486,4,2,16,9,NA,NA
Hyena_487,5,2,30,5,11,NA
Hyena_488,4,1,11,9,NA,NA
Hyena_489,4,1,11,9,NA,NA
Hyena_490,3,3,8,NA,NA,NA
Hyena_491,3,3,8,NA,NA,NA
Hyena_492,3,4,8,NA,NA,NA
Hyena_493,3,9,8,NA,NA,NA
Hyena_494,6,5,3,6,4,1
Hyena_495,6,5,3,6,4,1
Hyena_496,5,17,6,5,3,NA
Hyena_497,5,24,6,5,3,NA
Hyena_498,5,24,6,5,3,NA
Hyena_499,5,16,6,5,3,NA
Hyena_501,4,20,1,5,NA,NA
Hyena_502,4,26,1,5,NA,NA
Hyena_506,3,23,12,NA,NA,NA
Hyena_507,3,23,12,NA,NA,NA
Hyena_508,4,17,1,5,NA,NA
Hyena_509,3,19,12,NA,NA,NA
Hyena_510,6,10,4,8,8,5
Hyena_511,3,5,8,NA,NA,NA
Hyena_512,3,5,8,NA,NA,NA
Hyena_513,6,19,3,6,4,1
Hyena_514,3,19,12,NA,NA,NA
Hyena_515,5,2,30,1,5,NA
Hyena_516,4,2,1,5,NA,NA
Hyena_517,6,3,3,6,4,1
Hyena_518,5,1,30,1,5,NA
Hyena_521,4,6,1,5,NA,NA
Hyena_522,5,4,6,5,3,NA
Hyena_523,5,26,18,5,3,NA
Hyena_524,5,26,18,5,3,NA
Hyena_525,5,14,6,5,3,NA
Hyena_526,4,27,11,9,NA,NA
Hyena_527,4,27,11,9,NA,NA
Hyena_528,4,7,11,9,NA,NA
Hyena_529,4,7,11,9,NA,NA
Hyena_530,5,9,6,5,3,NA
Hyena_532,3,17,8,NA,NA,NA
Hyena_535,6,11,4,8,8,5
Hyena_536,6,11,4,8,8,5
Hyena_567,2,1,NA,NA,NA,NA
Hyena_577,2,3,NA,NA,NA,NA
Hyena_578,2,2,NA,NA,NA,NA
Hyena_579,2,4,NA,NA,NA,NA
Hyena_580,2,4,NA,NA,NA,NA
Hyena_581,2,3,NA,NA,NA,NA
Hyena_582,2,3,NA,NA,NA,NA
Hyena_583,2,1,NA,NA,NA,NA
Hyena_584,2,1,NA,NA,NA,NA
Hyena_587,2,5,NA,NA,NA,NA
Hyena_588,2,5,NA,NA,NA,NA
Hyena_589,2,3,NA,NA,NA,NA
Hyena_591,2,4,NA,NA,NA,NA
Hyena_593,2,2,NA,NA,NA,NA
Hyena_594,2,2,NA,NA,NA,NA
Hyena_595,2,9,NA,NA,NA,NA
Hyena_596,2,9,NA,NA,NA,NA
Hyena_597,2,9,NA,NA,NA,NA
Hyena_598,2,5,NA,NA,NA,NA
Hyena_602,2,3,NA,NA,NA,NA
Hyena_604,2,1,NA,NA,NA,NA
Hyena_605,2,4,NA,NA,NA,NA
Hyena_607,2,2,NA,NA,NA,NA
Hyena_609,2,9,NA,NA,NA,NA
Hyena_610,2,2,NA,NA,NA,NA
Hyena_612,3,13,1,NA,NA,NA
Hyena_617,2,2,1,NA,NA,NA
Hyena_618,3,4,1,NA,NA,NA
Hyena_621,3,1,1,NA,NA,NA
Hyena_622,3,7,2,NA,NA,NA
Hyena_624,3,8,7,NA,NA,NA
Hyena_625,3,8,7,NA,NA,NA
Hyena_627,3,4,1,NA,NA,NA
Hyena_628,2,3,1,NA,NA,NA
Hyena_629,2,3,1,NA,NA,NA
Hyena_630,2,13,9,NA,NA,NA
Hyena_631,2,2,1,NA,NA,NA
Hyena_633,3,7,2,NA,NA,NA
Hyena_635,2,5,1,NA,NA,NA
Hyena_636,2,5,1,NA,NA,NA
Hyena_637,3,10,7,NA,NA,NA
Hyena_638,3,8,1,NA,NA,NA
Hyena_639,3,15,2,NA,NA,NA
Hyena_641,2,13,1,NA,NA,NA
Hyena_643,3,2,3,NA,NA,NA
Hyena_644,3,1,7,NA,NA,NA
Hyena_645,3,10,1,NA,NA,NA
Hyena_646,3,13,9,NA,NA,NA
Hyena_647,3,6,7,NA,NA,NA
Hyena_649,3,15,1,NA,NA,NA
Hyena_650,2,15,9,NA,NA,NA
Hyena_651,3,12,8,NA,NA,NA
Hyena_652,2,3,9,NA,NA,NA
Hyena_653,4,3,4,1,NA,NA
Hyena_654,3,9,11,NA,NA,NA
Hyena_655,3,4,1,NA,NA,NA
Hyena_656,3,6,1,NA,NA,NA
Hyena_657,3,6,1,NA,NA,NA
Hyena_658,3,2,1,NA,NA,NA
Hyena_659,3,2,1,NA,NA,NA
Hyena_660,3,1,13,NA,NA,NA
Hyena_662,3,3,11,NA,NA,NA
Hyena_663,3,13,20,NA,NA,NA
Hyena_664,3,9,7,NA,NA,NA
Hyena_665,3,17,20,NA,NA,NA
Hyena_666,3,17,7,NA,NA,NA
Hyena_667,3,7,7,NA,NA,NA
Hyena_668,3,13,1,NA,NA,NA
Hyena_669,3,11,7,NA,NA,NA
Hyena_670,3,17,20,NA,NA,NA
Hyena_672,3,2,8,NA,NA,NA
Hyena_673,3,20,7,NA,NA,NA
Hyena_674,3,6,20,NA,NA,NA
Hyena_676,3,10,8,NA,NA,NA
Hyena_677,3,9,10,NA,NA,NA
Hyena_678,3,9,10,NA,NA,NA
Hyena_679,3,4,7,NA,NA,NA
Hyena_681,2,23,NA,NA,NA,NA
Hyena_684,3,1,7,NA,NA,NA
Hyena_685,3,1,8,NA,NA,NA
Hyena_687,3,23,1,NA,NA,NA
Hyena_688,3,7,7,NA,NA,NA
Hyena_689,3,7,20,NA,NA,NA
Hyena_692,3,3,13,NA,NA,NA
Hyena_693,3,18,10,NA,NA,NA
Hyena_694,3,18,10,NA,NA,NA
Hyena_695,3,12,20,NA,NA,NA
Hyena_698,3,14,10,NA,NA,NA
Hyena_699,3,21,20,NA,NA,NA
Hyena_700,2,25,NA,NA,NA,NA
Hyena_702,3,19,8,NA,NA,NA
Hyena_706,4,29,12,11,NA,NA
Hyena_707,3,28,1,NA,NA,NA
Hyena_711,4,3,2,1,NA,NA
Hyena_712,2,2,NA,NA,NA,NA
Hyena_713,2,1,NA,NA,NA,NA
Hyena_717,2,5,NA,NA,NA,NA
Hyena_718,2,9,NA,NA,NA,NA
Hyena_719,3,20,1,NA,NA,NA
Hyena_721,4,2,11,7,NA,NA
Hyena_724,2,15,NA,NA,NA,NA
Hyena_725,3,15,20,NA,NA,NA
Hyena_726,2,14,NA,NA,NA,NA
Hyena_727,2,14,NA,NA,NA,NA
Hyena_728,3,9,1,NA,NA,NA
Hyena_729,3,16,1,NA,NA,NA
Hyena_730,3,16,1,NA,NA,NA
Hyena_731,3,8,1,NA,NA,NA
Hyena_732,4,1,8,1,NA,NA
Hyena_735,2,6,NA,NA,NA,NA
Hyena_736,2,6,NA,NA,NA,NA
Hyena_737,3,3,1,NA,NA,NA
Hyena_738,3,9,20,NA,NA,NA
Hyena_739,2,2,NA,NA,NA,NA
Hyena_743,2,16,NA,NA,NA,NA
Hyena_744,3,3,1,NA,NA,NA
Hyena_748,4,1,8,1,NA,NA
Hyena_749,4,1,8,1,NA,NA
Hyena_750,3,11,19,1,NA,NA
Hyena_751,3,4,20,NA,NA,NA
Hyena_754,2,2,NA,NA,NA,NA
